ABEV3;AMBEV S/A;ON;4.355.174.839;3,137;
ASAI3;ASSAI;ON      NM;157.635.935;0,544;
AZUL4;AZUL;PN      N2;327.283.207;0,585;
BTOW3;B2W DIGITAL;ON      NM;201.549.295;0,589;
B3SA3;B3;ON  ED  NM;1.930.877.944;4,989;
BBSE3;BBSEGURIDADE;ON      NM;671.584.841;0,770;
BRML3;BR MALLS PAR;ON      NM;843.728.684;0,398;
BBDC3;BRADESCO;ON      N1;1.147.260.246;1,272;
BBDC4;BRADESCO;PN      N1;4.261.649.634;5,451;
BRAP4;BRADESPAR;PN      N1;222.075.664;0,660;
BBAS3;BRASIL;ON      NM;1.283.197.221;1,823;
BRKM5;BRASKEM;PNA     N1;264.640.575;0,480;
BRFS3;BRF SA;ON      NM;811.759.800;0,947;
BPAC11;BTGP BANCO;UNT     N2;263.871.572;1,175;
CRFB3;CARREFOUR BR;ON      NM;391.758.726;0,416;
CCRO3;CCR SA;ON      NM;1.115.695.556;0,645;
CMIG4;CEMIG;PN      N1;969.723.092;0,580;
HGTX3;CIA HERING;ON      NM;126.186.408;0,098;
CIEL3;CIELO;ON      NM;1.112.196.638;0,194;
COGN3;COGNA ON;ON      NM;1.847.994.874;0,354;
CPLE6;COPEL;PNB     N1;1.282.975.430;0,423;
CSAN3;COSAN;ON      NM;160.307.273;0,710;
CPFE3;CPFL ENERGIA;ON      NM;187.714.249;0,278;
CVCB3;CVC BRASIL;ON      NM;172.756.818;0,159;
CYRE3;CYRELA REALT;ON      NM;281.154.098;0,327;
ECOR3;ECORODOVIAS;ON      NM;171.109.276;0,092;
ELET3;ELETROBRAS;ON      N1;358.018.408;0,583;
ELET6;ELETROBRAS;PNB     N1;242.977.127;0,401;
EMBR3;EMBRAER;ON  ATZ NM;736.143.105;0,466;
ENBR3;ENERGIAS BR;ON      NM;250.403.441;0,232;
ENGI11;ENERGISA;UNT ED  N2;250.679.709;0,530;
ENEV3;ENEVA;ON      NM;1.151.378.680;0,905;
EGIE3;ENGIE BRASIL;ON      NM;254.792.279;0,502;
EQTL3;EQUATORIAL;ON      NM;1.010.286.085;1,091;
EZTC3;EZTEC;ON      NM;95.756.217;0,147;
FLRY3;FLEURY;ON      NM;303.800.430;0,367;
GGBR4;GERDAU;PN      N1;995.903.643;1,300;
GOAU4;GERDAU MET;PN      N1;693.699.918;0,407;
GOLL4;GOL;PN      N2;137.725.788;0,139;
NTCO3;GRUPO NATURA;ON      NM;841.083.922;1,995;
HAPV3;HAPVIDA;ON      NM;1.085.256.490;0,806;
HYPE3;HYPERA;ON      NM;410.147.968;0,639;
IGTA3;IGUATEMI;ON      NM;85.796.919;0,151;
GNDI3;INTERMEDICA;ON      NM;588.176.771;2,461;
IRBR3;IRBBRASIL RE;ON      NM;1.255.327.516;0,368;
ITSA4;ITAUSA;PN  EJ  N1;4.515.538.171;2,223;
ITUB4;ITAUUNIBANCO;PN  EJ  N1;4.757.466.114;6,311;
JBSS3;JBS;ON      NM;1.500.315.048;2,016;
JHSF3;JHSF PART;ON      NM;288.952.690;0,096;
KLBN11;KLABIN S/A;UNT     N2;788.757.519;1,082;
RENT3;LOCALIZA;ON      NM;592.069.308;1,616;
LCAM3;LOCAMERICA;ON  EJ  NM;323.763.077;0,355;
LAME4;LOJAS AMERIC;PN      N1;843.325.974;0,882;
LREN3;LOJAS RENNER;ON  EJ  NM;785.417.914;1,618;
MGLU3;MAGAZ LUIZA;ON      NM;2.668.955.512;2,603;
MRFG3;MARFRIG;ON      NM;368.864.634;0,305;
BEEF3;MINERVA;ON      NM;239.331.676;0,113;
MRVE3;MRV;ON      NM;298.796.441;0,251;
MULT3;MULTIPLAN;ON      N2;276.848.567;0,315;
PCAR3;P.ACUCAR-CBD;ON      NM;157.635.935;0,225;
PETR3;PETROBRAS;ON      N2;3.307.982.840;3,649;
PETR4;PETROBRAS;PN      N2;4.566.457.037;5,090;
BRDT3;PETROBRAS BR;ON      NM;1.164.958.126;1,247;
PRIO3;PETRORIO;ON      NM;164.860.900;0,708;
QUAL3;QUALICORP;ON      NM;283.467.789;0,439;
RADL3;RAIADROGASIL;ON      NM;1.072.645.150;1,290;
RAIL3;RUMO S.A.;ON      NM;1.218.081.171;1,159;
SBSP3;SABESP;ON      NM;339.999.111;0,667;
SANB11;SANTANDER BR;UNT;355.666.691;0,676;
CSNA3;SID NACIONAL;ON;642.398.790;1,033;
SULA11;SUL AMERICA;UNT     N2;279.572.852;0,496;
SUZB3;SUZANO S.A.;ON      NM;724.921.241;2,550;
TAEE11;TAESA;UNT     N2;218.568.274;0,376;
VIVT3;TELEF BRASIL;ON;444.219.852;0,965;
TIMS3;TIM;ON      NM;808.485.985;0,495;
TOTS3;TOTVS;ON      NM;480.228.410;0,651;
UGPA3;ULTRAPAR;ON      NM;1.087.056.490;1,053;
USIM5;USIMINAS;PNA     N1;513.729.947;0,404;
VALE3;VALE;ON      NM;2.837.320.141;12,602;
VVAR3;VIAVAREJO;ON      NM;1.595.083.594;0,923;
WEGE3;WEG;ON      NM;741.148.001;2,531;
YDUQ3;YDUQS PART;ON      NM;300.483.575;0,399;
